Datum;Monat;Jahr;Zuschlaege;Freihaender;IT-Zuschlaege;IT-Freihaender
Jan 09;Januar;2009;85;22;12;8
Feb 09;Februar;2009;93;33;12;10
Mrz 09;März;2009;120;45;21;16
Apr 09;April;2009;110;24;20;6
Mai 09;Mai;2009;124;30;20;10
Jun 09;Juni;2009;230;59;35;24
Jul 09;Juli;2009;301;70;25;14
Aug 09;August;2009;232;48;36;19
Sep 09;September;2009;293;60;23;13
Okt 09;Oktober;2009;366;45;15;2
Nov 09;November;2009;346;72;78;32
Dez 09;Dezember;2009;291;66;20;13
Jan 10;Januar;2010;264;32;20;9
Feb 10;Februar;2010;309;38;69;11
Mrz 10;März;2010;375;89;40;32
Apr 10;April;2010;354;35;29;6
Mai 10;Mai;2010;313;25;57;8
Jun 10;Juni;2010;441;67;51;14
Jul 10;Juli;2010;397;34;35;2
Aug 10;August;2010;338;57;49;9
Sep 10;September;2010;359;60;34;16
Okt 10;Oktober;2010;312;71;37;23
Nov 10;November;2010;453;86;76;32
Dez 10;Dezember;2010;340;58;20;11
